,Sector,Entry_Date,Exit_Date,Entry_Spread,Exit_Spread,PnL,Holding_Period
0,USD Sustainability-Linked Bonds,2024-01-02,2024-01-04,-0.0015908228642549371,0.0012300797867668134,282.09026510217507,2
1,USD Sustainability-Linked Bonds,2024-01-10,2024-01-11,0.0021762989461640014,0.0005986725140108007,157.76264321532008,1
2,USD Sustainability-Linked Bonds,2024-01-23,2024-01-24,-0.0016523972052965297,0.0011585274868478601,281.092469214439,1
3,USD Sustainability-Linked Bonds,2024-02-01,2024-02-02,-0.0011331571796298068,0.00036880992570209603,150.19671053319027,1
4,USD Sustainability-Linked Bonds,2024-02-20,2024-02-21,-0.0008598573455615988,0.0005600504507361492,141.9907796297748,1
5,USD Sustainability-Linked Bonds,2024-02-28,2024-02-29,-0.0013431013983320472,0.00027555705021931054,161.86584485513578,1
6,USD Sustainability-Linked Bonds,2024-03-01,2024-03-04,-0.001106514590008656,0.0004621076309417882,156.86222209504442,3
7,USD Sustainability-Linked Bonds,2024-03-12,2024-03-15,0.0010171935545333355,-0.0003317187979323677,134.89123524657032,3
8,USD Sustainability-Linked Bonds,2024-03-19,2024-03-20,-0.0005049247483563946,-7.759658955830417e-06,49.716508940056414,1
9,USD Sustainability-Linked Bonds,2024-03-21,2024-03-22,0.0018274398551756388,-0.0003633962744813424,219.0836129656981,1
10,USD Sustainability-Linked Bonds,2024-03-25,2024-03-26,-0.0008470805322162711,-0.00048745914089542985,35.962139132084125,1
11,USD Sustainability-Linked Bonds,2024-04-02,2024-04-03,-0.0008033887326389655,0.00011785970193134432,92.12484345703098,1
12,USD Sustainability-Linked Bonds,2024-04-05,2024-04-08,0.0013711478058989757,0.00016888649177426718,120.22613141247085,3
13,USD Sustainability-Linked Bonds,2024-04-12,2024-04-17,-0.0011067940421409794,-3.886267247166231e-05,106.79313696693171,5
14,USD Sustainability-Linked Bonds,2024-04-18,2024-04-19,0.0009165126841126359,-0.0006533406305193612,156.9853314631997,1
15,USD Sustainability-Linked Bonds,2024-04-23,2024-04-24,0.0012046265850862437,-0.0004705983588355611,167.52249439218048,1
16,USD Sustainability-Linked Bonds,2024-04-26,2024-04-29,0.0008033030527010432,0.0004900602235999862,31.324282910105694,3
17,USD Sustainability-Linked Bonds,2024-05-01,2024-05-02,-0.0008098028957619352,0.00036388160709965867,117.36845028615939,1
18,USD Sustainability-Linked Bonds,2024-05-03,2024-05-07,0.0018825958173671609,-0.0005243110476902402,240.6906865057401,4
19,USD Sustainability-Linked Bonds,2024-05-14,2024-05-15,-0.000778196209593629,0.0008965753378800123,167.47715474736412,1
20,USD Sustainability-Linked Bonds,2024-05-22,2024-05-23,-0.0007774824524590107,0.0005482644504688494,132.57469029278602,1
21,USD Sustainability-Linked Bonds,2024-05-29,2024-05-30,-0.0006535754530353488,0.00043134811139577955,108.49235644311284,1
22,USD Sustainability-Linked Bonds,2024-06-04,2024-06-05,-0.0007645437971248725,-0.00037290234998010874,39.16414471447638,1
23,USD Sustainability-Linked Bonds,2024-06-12,2024-06-13,0.0009760715372053586,-0.0019778187393411084,295.3890276546467,1
24,USD Sustainability-Linked Bonds,2024-06-14,2024-06-17,-0.0012785332396904048,-0.00035795326940102346,92.05799702893813,3
25,USD Sustainability-Linked Bonds,2024-06-18,2024-06-19,0.0008796961781485368,2.4050958450372306e-05,85.56452196981645,1
26,USD Sustainability-Linked Bonds,2024-06-27,2024-06-28,0.0015296646289559845,0.000588030370675674,94.16342582803105,1
27,USD Sustainability-Linked Bonds,2024-07-03,2024-07-04,0.00082754766668236,2.4103901099747915e-05,80.34437655826122,1
28,USD Sustainability-Linked Bonds,2024-07-10,2024-07-11,0.0007294706286049557,0.0002575117239664859,47.19589046384698,1
29,USD Sustainability-Linked Bonds,2024-07-18,2024-07-19,0.0007688155530524154,-0.0002571415025395263,102.59570555919417,1
30,USD Sustainability-Linked Bonds,2024-07-22,2024-07-23,0.0009085689031620436,0.00013130157595919734,77.72673272028463,1
31,USD Sustainability-Linked Bonds,2024-07-30,2024-08-06,-0.0010745461200296624,0.0035183593396131974,459.29054596428597,7
32,USD Sustainability-Linked Bonds,2024-08-13,2024-08-14,0.001593782223794804,0.0008603124065218459,73.34698172729581,1
33,USD Sustainability-Linked Bonds,2024-08-22,2024-08-23,0.0014836107813167576,0.00023514696337745278,124.84638179393048,1
34,USD Sustainability-Linked Bonds,2024-09-03,2024-09-05,-0.002515672264266744,0.00024668812287442776,276.23603871411717,2
35,USD Sustainability-Linked Bonds,2024-09-25,2024-09-26,0.0011618738577651166,0.00038565841469984097,77.62154430652757,1
36,USD Sustainability-Linked Bonds,2024-09-30,2024-10-01,0.00139336729549,0.0003015664954768571,109.1800800013143,1
37,USD Sustainability-Linked Bonds,2024-10-07,2024-10-09,-0.0007783838398074394,0.0012323732931944775,201.0757133001917,2
38,USD Sustainability-Linked Bonds,2024-10-17,2024-10-18,0.0011582218226802166,-0.00028235408300547604,144.05759056856925,1
39,USD Sustainability-Linked Bonds,2024-10-22,2024-10-24,-0.001020821805708061,-0.00011697016484824019,90.38516408598207,2
40,USD Sustainability-Linked Bonds,2024-10-25,2024-10-28,0.0011671749194555048,2.0223423064402724e-05,114.69514963911021,3
41,USD Sustainability-Linked Bonds,2024-10-29,2024-10-30,-0.0007161401595158212,0.0009954172185772103,171.15573780930316,1
42,USD Sustainability-Linked Bonds,2024-10-31,2024-11-01,-0.000929889316856225,0.0006257354892467148,155.562480610294,1
43,USD Sustainability-Linked Bonds,2024-11-05,2024-11-06,-0.000997296800313796,0.0008264829723386713,182.37797726524673,1
44,USD Sustainability-Linked Bonds,2024-11-07,2024-11-08,0.00139049084649856,-4.054060719238528e-05,143.10314536909453,1
45,USD Corporates Fallen Angels,2024-01-03,2024-01-04,-0.005535414499636571,0.004599286283376358,1013.4700783012929,1
46,USD Corporates Fallen Angels,2024-01-05,2024-01-08,0.00277391443014674,-0.00033409414913609936,310.80085792828396,3
47,USD Corporates Fallen Angels,2024-01-10,2024-01-11,0.002766086507722143,-0.0022744317640399636,504.0518271762107,1
48,USD Corporates Fallen Angels,2024-01-16,2024-01-17,0.00357491280834632,-0.0014004540259715537,497.53668343178737,1
49,USD Corporates Fallen Angels,2024-01-18,2024-01-19,0.0031933490583110347,-0.00035809481902981943,355.1443877340854,1
50,USD Corporates Fallen Angels,2024-01-24,2024-01-25,0.0039011073839049226,-0.0010489220049803016,495.0029388885224,1
51,USD Corporates Fallen Angels,2024-01-30,2024-02-01,-0.0019480665863997881,-0.001267177107315609,68.08894790841791,2
52,USD Corporates Fallen Angels,2024-02-02,2024-02-06,0.006163568907859185,-0.0006037368537368248,676.730576159601,4
53,USD Corporates Fallen Angels,2024-02-23,2024-02-26,-0.002645328250006518,0.0004935158930298167,313.88441430363343,3
54,USD Corporates Fallen Angels,2024-02-28,2024-02-29,-0.002674336531323096,-0.0002643805309352487,240.99560003878474,1
55,USD Corporates Fallen Angels,2024-03-05,2024-03-06,-0.0037609521566326354,-0.00038323911478777006,337.77130418448655,1
56,USD Corporates Fallen Angels,2024-03-14,2024-03-15,0.003079088528041729,-0.0007124176063678656,379.15061344095943,1
57,USD Corporates Fallen Angels,2024-03-22,2024-03-25,-0.003217427782777227,0.0006839503315917428,390.137811436897,3
58,USD Corporates Fallen Angels,2024-03-27,2024-03-28,-0.0017243752394779932,0.001330562053851625,305.49372933296183,1
59,USD Corporates Fallen Angels,2024-04-01,2024-04-02,0.003748377654618662,-0.001121823884798756,487.0201539417418,1
60,USD Corporates Fallen Angels,2024-04-05,2024-04-08,0.003977632898260475,4.9119997355129286e-05,392.8512900905345,3
61,USD Corporates Fallen Angels,2024-04-10,2024-04-11,0.00402971940950525,-0.00048240976137414737,451.2129170879398,1
62,USD Corporates Fallen Angels,2024-04-12,2024-04-15,-0.0038031487549098353,0.0016039972716438422,540.7146026553678,3
63,USD Corporates Fallen Angels,2024-04-16,2024-04-18,-0.001721567628626075,0.0014002091175892017,312.1776746215277,2
64,USD Corporates Fallen Angels,2024-05-01,2024-05-02,-0.0026878276696251646,0.0004841066536740435,317.1934323299208,1
65,USD Corporates Fallen Angels,2024-05-14,2024-05-16,-0.0016752788192060386,0.0027246394218055636,439.9918241011602,2
66,USD Corporates Fallen Angels,2024-05-20,2024-05-21,0.001989948362272065,-0.0006193397675986478,260.9288129870713,1
67,USD Corporates Fallen Angels,2024-05-24,2024-05-27,-0.0017023194258778407,0.00022566554120495574,192.79849670827963,3
68,USD Corporates Fallen Angels,2024-05-28,2024-05-29,0.002691924045679084,0.0008779225888749798,181.40014568041042,1
69,USD Corporates Fallen Angels,2024-05-30,2024-05-31,-0.003001869003060431,-0.0003085842746461953,269.3284728414236,1
70,USD Corporates Fallen Angels,2024-06-03,2024-06-05,-0.002065090743409881,-0.001456418793301717,60.86719501081639,2
71,USD Corporates Fallen Angels,2024-06-07,2024-06-10,0.004922155619953905,0.0011581793281757458,376.39762917781593,3
72,USD Corporates Fallen Angels,2024-06-11,2024-06-12,-0.0024220421344114396,0.0003058734394336682,272.7915573845108,1
73,USD Corporates Fallen Angels,2024-06-13,2024-06-17,-0.004620870939174848,0.0028405651535318155,746.1436092706664,4
74,USD Corporates Fallen Angels,2024-06-26,2024-06-27,0.003913872350378211,-0.0018820354342969914,579.5907784675203,1
75,USD Corporates Fallen Angels,2024-06-28,2024-06-30,0.004147006811672016,0.00014632975857775676,400.06770530942595,2
76,USD Corporates Fallen Angels,2024-07-01,2024-07-02,0.0027549466987145665,-0.002536340884277344,529.1287582991911,1
77,USD Corporates Fallen Angels,2024-07-05,2024-07-08,-0.002722314330544595,0.0007592377560969865,348.1552086641582,3
78,USD Corporates Fallen Angels,2024-07-25,2024-07-29,-0.0015728215439676507,-0.001247373217435399,32.544832653225164,4
79,USD Corporates Fallen Angels,2024-07-31,2024-08-06,-0.00271647457589852,0.009728582893597904,1244.5057469496423,6
80,USD Corporates Fallen Angels,2024-08-07,2024-08-08,0.003811797238623016,0.0023080730954695428,150.37241431534733,1
81,USD Corporates Fallen Angels,2024-08-15,2024-08-16,0.004342120713992759,-2.6748224101869056e-05,436.8868938094628,1
82,USD Corporates Fallen Angels,2024-09-03,2024-09-05,-0.0068288462304828546,-1.0862955252433082e-05,681.7983275230422,2
83,USD Corporates Fallen Angels,2024-09-12,2024-09-13,0.0034030548397255833,0.0003547215362278422,304.8333303497741,1
